day,weekday,month,y
2020-07-17,5,7,85
2020-07-18,6,7,63
2020-07-19,7,7,43
2020-07-20,1,7,89
2020-07-21,2,7,88
2020-07-22,3,7,86
2020-07-23,4,7,80
2020-07-24,5,7,80
2020-07-25,6,7,69
2020-07-26,7,7,50
2020-07-27,1,7,86
2020-07-28,2,7,89
2020-07-29,3,7,85
2020-07-30,4,7,89
2020-07-31,5,7,76
2020-08-01,6,8,66
2020-08-02,7,8,51
2020-08-03,1,8,87
2020-08-04,2,8,91
2020-08-05,3,8,87
2020-08-06,4,8,80
2020-08-07,5,8,82
2020-08-08,6,8,70
2020-08-09,7,8,53
2020-08-10,1,8,87
2020-08-11,2,8,89
2020-08-12,3,8,88
2020-08-13,4,8,88
2020-08-14,5,8,83
2020-08-15,6,8,61
2020-08-16,7,8,48
2020-08-17,1,8,88
2020-08-18,2,8,89
2020-08-19,3,8,83
2020-08-20,4,8,88
2020-08-21,5,8,86
2020-08-22,6,8,53
2020-08-23,7,8,48
2020-08-24,1,8,84
2020-08-25,2,8,80
2020-08-26,3,8,86
2020-08-27,4,8,86
2020-08-28,5,8,81
2020-08-29,6,8,52
2020-08-30,7,8,42
2020-08-31,1,8,70
2020-09-01,2,9,74
2020-09-02,3,9,85
2020-09-03,4,9,83
2020-09-04,5,9,87
2020-09-05,6,9,55
2020-09-06,7,9,43
2020-09-07,1,9,78
2020-09-08,2,9,74
2020-09-09,3,9,87
2020-09-10,4,9,92
2020-09-11,5,9,84
2020-09-12,6,9,64
2020-09-13,7,9,59
2020-09-14,1,9,76
2020-09-15,2,9,80
2020-09-16,3,9,82
2020-09-17,4,9,85
2020-09-18,5,9,94
2020-09-19,6,9,72
2020-09-20,7,9,56
2020-09-21,1,9,79
2020-09-22,2,9,83
2020-09-23,3,9,80
2020-09-24,4,9,85
2020-09-25,5,9,77
2020-09-26,6,9,79
2020-09-27,7,9,59
2020-09-28,1,9,77
2020-09-29,2,9,81
2020-09-30,3,9,80
2020-10-01,4,10,82
2020-10-02,5,10,78
2020-10-03,6,10,76
2020-10-04,7,10,64
2020-10-05,1,10,75
2020-10-06,2,10,77
2020-10-07,3,10,74
2020-10-08,4,10,80
2020-10-09,5,10,83
2020-10-10,6,10,72
2020-10-11,7,10,60
2020-10-12,1,10,82
2020-10-13,2,10,84
2020-10-14,3,10,85
2020-10-15,4,10,94
2020-10-16,5,10,88
2020-10-17,6,10,60
2020-10-18,7,10,56
2020-10-19,1,10,83
2020-10-20,2,10,87
2020-10-21,3,10,83
2020-10-22,4,10,90
2020-10-23,5,10,88
2020-10-24,6,10,62
2020-10-25,7,10,71
2020-10-26,1,10,84
2020-10-27,2,10,82
2020-10-28,3,10,93
2020-10-29,4,10,90
2020-10-30,5,10,83
2020-10-31,6,10,63
2020-11-01,7,11,64
2020-11-02,1,11,82
2020-11-03,2,11,83
2020-11-04,3,11,83
2020-11-05,4,11,88
2020-11-06,5,11,87
2020-11-07,6,11,61
2020-11-08,7,11,66
2020-11-09,1,11,82
2020-11-10,2,11,82
2020-11-11,3,11,87
2020-11-12,4,11,94
2020-11-13,5,11,88
2020-11-14,6,11,64
2020-11-15,7,11,71
2020-11-16,1,11,84
2020-11-17,2,11,82
2020-11-18,3,11,93
2020-11-19,4,11,90
2020-11-20,5,11,88
2020-11-21,6,11,58
2020-11-22,7,11,64
2020-11-23,1,11,85
2020-11-24,2,11,87
2020-11-25,3,11,82
2020-11-26,4,11,54
2020-11-27,5,11,41
2020-11-28,6,11,20
2020-11-29,7,11,46
2020-11-30,1,11,45
2020-12-01,2,12,57
2020-12-02,3,12,66
2020-12-03,4,12,71
2020-12-04,5,12,72
2020-12-05,6,12,53
2020-12-06,7,12,46
2020-12-07,1,12,66
2020-12-08,2,12,69
2020-12-09,3,12,78
2020-12-10,4,12,70
2020-12-11,5,12,65
2020-12-12,6,12,44
2020-12-13,7,12,48
2020-12-14,1,12,67
2020-12-15,2,12,71
2020-12-16,3,12,82
2020-12-17,4,12,81
2020-12-18,5,12,82
2020-12-19,6,12,70
2020-12-20,7,12,53
2020-12-21,1,12,87
2020-12-22,2,12,87
2020-12-23,3,12,82
2020-12-24,4,12,75
2020-12-25,5,12,78
2020-12-26,6,12,65
2020-12-27,7,12,43
2020-12-28,1,12,78
2020-12-29,2,12,80
2020-12-30,3,12,84
2020-12-31,4,12,91
